Date,CustomerName,Description,PartNo,DRNo,UnitPrice,Text56,OutQty,SellingUnitPrice,Amount
1/3/2015,,SEAL KIT,ISK-26,53769,110.00,110,1,230.00,230.00
1/3/2015,,AUTO WIRE,NO.18 MTR,53770,7.40,222,30,12.00,360.00
1/3/2015,,AUTO BULB,17328,53770,15.46,154.6,10,20.00,200.00
1/3/2015,,MUD GUARD,BLACK,53770,420.00,840,2,550.00,1100.00
1/3/2015,,BACK HORN,24V,53773,350.00,350,1,500.00,500.00
1/3/2015,CASH,WHEEL CUP,SC-80563R,53777,58.00,232,4,70.00,280.00
1/3/2015,,BRAKE LINING,730,53777,270.00,1080,4,375.00,1500.00
1/3/2015,,PRESTONE,900ML,53777,193.44,193.44,1,220.00,220.00
1/3/2015,,WHEEL BOOT,SC-3656,53777,34.20,136.8,4,50.00,200.00
1/3/2015,CASH,TURBO GASKET,6RB1T,53777,200.00,200,1,450.00,450.00
1/3/2015,CASH,EXH PIPE GASKET,3 1/2 HD,53780,200.00,400,2,250.00,500.00
1/3/2015,CASH,SEAT BALL BUSH,GIGA,53781,50.00,50,1,100.00,100.00
1/3/2015,AMADO,ACCELERATOR CABLE,CXM 2240,53791,198.00,198,1,350.00,350.00
1/3/2015,AMADO,CLUTCH BOOSTER ASSY,SPM-KOREA,53791,1845.00,1845,1,2600.00,2600.00
1/4/2015,,CLEARANCE LIGHT,M-4,53796,30.00,60,2,50.00,100.00
1/4/2015,,HYDRAULIC JACK,10T,53796,650.00,650,1,800.00,800.00
1/4/2015,,EXH PIPE GASKET,V-10,53797,72.00,144,2,120.00,240.00
1/5/2015,,WHEEL CUP,SC-7636R,53802,29.10,116.4,4,40.00,160.00
1/5/2015,,FAN BELT,LP,53807,485.00,970,2,550.00,1100.00
1/5/2015,NASH,MULTIS 3,2KG,53808,395.00,395,1,450.00,450.00
1/5/2015,,DISTILLED WATER,UNI,53808,7.50,75,10,12.00,120.00
1/5/2015,NASH,AUTO BULB,17328,53808,15.46,154.6,10,20.00,200.00
1/5/2015,,HOSE,42006,53809,3.59,71.8,20,10.00,200.00
1/5/2015,,FEROLE,42006,53809,14.00,28,2,50.00,100.00
1/5/2015,,FITTING,I06-16MJL,53809,37.00,74,2,100.00,200.00
1/5/2015,BLOOMS,SANDPAPER,UNI,53809,7.00,28,4,15.00,60.00
1/5/2015,BLOOMS,BATTERY TERMINAL,UNI,53809,31.20,124.8,4,45.00,180.00
1/5/2015,BLOOMS,PRESTONE,900ML,53809,193.44,193.44,1,220.00,220.00
1/5/2015,BLOOMS,OIL,LUB PLUS GAL,53809,420.00,840,2,450.00,900.00
1/5/2015,,HUB BOLT,UNI RRH,53815,150.00,300,2,180.00,360.00
1/5/2015,DIMAUNAHAN,BRAKE LINING,182,53815,112.50,450,4,450.00,1800.00
1/6/2015,CROSS,MULTIS 3,2KG,53826,395.00,395,1,450.00,450.00
1/6/2015,CROSS,FOG LAMP,TC-212,53826,350.00,700,2,550.00,1100.00
1/6/2015,CROSS,HYDRAULIC JACK,50T,53826,2200.00,2200,1,3300.00,3300.00
1/6/2015,CROSS,SEAT BELT,MATIC,53826,1683.00,1683,1,1950.00,1950.00
1/6/2015,CROSS,HUB BOLT,HYUNDAI FRH,53826,110.00,110,1,150.00,150.00
1/6/2015,,TIRE WRENCH,41X32X21,53826,1200.00,1200,1,1810.00,1810.00
1/6/2015,,BOLT,12x75,53826,10.10,40.4,4,35.00,140.00
1/6/2015,,TRANSMISSION BOOTS,CXM,53826,238.00,238,1,400.00,400.00
1/6/2015,,ATF,GAL,53826,558.00,558,1,590.00,590.00
1/6/2015,,EWD,BIG,53826,170.00,170,1,420.00,420.00
1/6/2015,MARUDO,BUNDY TUBE,42071,53829,30.00,240,8,30.00,240.00
1/6/2015,,BRONSE ROD,UNI,53833,33.00,33,1,60.00,60.00
1/6/2015,,FOG LAMP,DL-608,53833,185.00,370,2,250.00,500.00
1/6/2015,,FOG LAMP,TC-212,53833,350.00,700,2,550.00,1100.00
1/6/2015,,CENTER BOLT,16X220-T,53834,70.00,70,1,150.00,150.00
1/6/2015,,LEAF SPRING,GIGA FRT-1 80X71,53834,2178.40,2178.4,1,3500.00,3500.00
1/6/2015,CROSS,HALOGEN BULB,H3 OSRAM 12V,53835,65.00,130,2,180.00,360.00
1/6/2015,,FUEL FILTER,F-1503,53836,138.75,138.75,1,250.00,250.00
1/6/2015,,DUMP CABLE,YY-3500-6MM,53840,540.00,540,1,800.00,800.00
1/6/2015,,OIL,LUB PLUS LTR,53841,105.00,105,1,115.00,115.00
1/6/2015,,SPRING,V-10,53841,35.00,35,1,50.00,50.00
1/6/2015,,O-RING,NO.215,53841,5.00,10,2,15.00,30.00
1/6/2015,,EXH PIPE GASKET,V-10,53841,72.00,144,2,120.00,240.00
1/6/2015,AMADO BALBA,ACCELERATOR CABLE,4E+30,53845,162.00,162,1,300.00,300.00
1/6/2015,METROPHIL,FOG LAMP,TC-212,53851,350.00,700,2,550.00,1100.00
