
Description	Part No	Current Stock	Unit Price	Amount
ACCELERATOR CABLE	4D30	5	162.00	810.00
ACCELERATOR CABLE	4HF1	2	162.00	324.00
ACCELERATOR CABLE	6BB1-498	2	162.00	324.00
ACCELERATOR CABLE	6BG1-056	3	144.00	432.00
ACCELERATOR CABLE	6WA1	3	225.00	675.00
ACCELERATOR CABLE	8DC9	3000	1	190.00	190.00
ACCELERATOR CABLE	8DC9-S	3	185.00	555.00
ACCELERATOR CABLE	CXM	1140	3	162.00	486.00
ACCELERATOR CABLE	CXM	1920	3	162.00	486.00
ACCELERATOR CABLE	CXM	2240	2	180.00	360.00
ACCELERATOR CABLE	CXM	2240	3	198.00	594.00
ACCELERATOR CABLE	CXM 68	2	150.00	300.00
ACCELERATOR CABLE	EF750	3	162.00	486.00
ACCELERATOR CABLE	NKR	3	153.00	459.00
ACCELERATOR CABLE	V-10 3000	2	216.00	432.00
ADAPTOR FITTING	3/8X1/4	25	45.00	1125.00
AIR BAG	033	2	9500.00	19000.00
AIR BAG	143-0	2	4000.00	8000.00
AIR BAG	143-0	2	4000.00	8000.00
AIR BAG	MC056299	3	4800.00	14400.00
AIR BAG	MC096799	1	6500.00	6500.00
AIR BAG	MC334786	2	4800.00	9600.00
AIR BAG	MK493369	1	7500.00	7500.00
AIR BAG	TRL-270	2	6500.00	13000.00
AIR CLEANER HOSE	5X12	2	500.00	1000.00
AIR CLEANER HOSE	5X24	2	700.00	1400.00
AIR CLEANER HOSE	5X6X12	1	700.00	700.00
AIR CLEANER HOSE	6X12	1	321.75	321.75
AIR CLEANER HOSE	L-300	5	275.00	1375.00
AIR COMPRESSOR CHECK 	V-10	1	450.00	450.00
AIR COMPRESSOR HEAD	10PC1	1	3200.00	3200.00
AIR COMPRESSOR HEAD	6BG1	1	3500.00	3500.00
AIR COMPRESSOR HEAD	8DC9	1	3500.00	3500.00
	Page	1	/	117

Description	Part No	Current Stock	Unit Price	Amount
AIR COMPRESSOR KIT	10PB1 SQUARE	4	250.00	1000.00
AIR COMPRESSOR KIT	6BG1 ROUND	1	180.00	180.00
AIR COMPRESSOR KIT	6BG1 TRIANGLE	1	250.00	250.00
AIR COMPRESSOR KIT	8DC9	1	180.00	180.00
AIR COMPRESSOR LINER	10PC1	1	1800.00	1800.00
AIR COMPRESSOR LINER	6BG1	1	1500.00	1500.00
AIR COMPRESSOR PISTON	1500	1	1200.00	1200.00
AIR COMPRESSOR PISTON	6BG1	2	1100.00	2200.00
AIR COMPRESSOR PISTON	8DC9	1	950.00	950.00
AIR COMPRESSOR VALVE 	6BG1	2	1100.00	2200.00
AIR DRIER KIT	DR-31-T	2	1500.00	3000.00
AIR DRYER ASSY	DR-31-K	2	5000.00	10000.00
AIR DRYER ASSY	DR-5	1	6800.00	6800.00
AIR FILTER	A-1039	1	637.50	637.50
AIR FILTER	A-1084	1	680.00	680.00
AIR FILTER	A-1317	2	1300.00	2600.00
AIR FILTER	A-5627	2	850.00	1700.00
AIR FILTER	A-5801	2	1170.00	2340.00
AIR FILTER	A-5803	5	1650.00	8250.00
AIR FILTER	A-5808	2	1965.00	3930.00
AIR FILTER	A-6008	2	490.00	980.00
AIR FILTER	A-6014	5	1612.50	8062.50
AIR FILTER	A-6014	1	1613.00	1613.00
AIR FILTER	A-6018	2	1685.00	3370.00
AIR FILTER	A-6020	2	900.00	1800.00
AIR FILTER	DA-3003	2	500.00	1000.00
AIR FILTER	EA-276	5	720.00	3600.00
AIR FILTER	EA-320	1	163.00	163.00
AIR FILTER	EA-352	1	274.53	274.53
AIR FILTER	EA-356	4	341.91	1367.64
AIR FILTER	EA-358	2	409.00	818.00
AIR FILTER	EA-361	4	557.85	2231.40
AIR FILTER	EA-361	1	558.00	558.00
AIR FILTER	EA-363	3	819.66	2458.98
	Page	2	/	117

